ACLED Actor1,ACLED Actor1 (group),ACLED Actor2,ACLED Admin1,ACLED Admin2,ACLED Admin3,ACLED Ally Actor1,ACLED Ally Actor2,ACLED CreatedOn,ACLED Event ID Cnty,ACLED Event ID No Cnty,ACLED Event SubType,ACLED Event SubTypeDesc,ACLED Event Type,ACLED Event TypeDesc,ACLED Location,ACLED Notes,ACLED Region,ACLED Source,ACLED SourceScale,ACLED Year,Geographic Area,ACLED Fatalities,ACLED Geo Precision,ACLED Geometrry,Acled Gwno,ACLED Inter1,ACLED Inter2,ACLED Interaction,ACLED Latitude,ACLED Longitude,Acled Pk,TimeFK Event Date
Military Forces of Nigeria (2015-),State Security Forces,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Borno,Shani,,,,12/12/2022 3:33,NIG28528,28528,Armed clash,"Armed, organized groups engage in a battle, and no reports indicate a change in territorial control.",Battles,A violent interaction between two politically organized armed groups at a particular time and location.,Feshingo,"On 24 October 2022, troops of Operation Hadin Kai engaged Boko Haram militants [JAS] in an armed clash at Feshingo (Shani, Borno). An unspecified number of militants were killed, coded as 3, and 4 motorcycles were recovered.",Western Africa,"Risk and Strategic Management, Corporation",Local partner-International,2022,North East,3,1,Point,,1,2,12,10.0948,12.0594,4085088,20221024
Military Forces of Nigeria (2015-),State Security Forces,IPOB: Indigenous Peoples of Biafra,Abia,Ohafia,,,,12/6/2022 15:53,NIG28622,28622,Armed clash,"Armed, organized groups engage in a battle, and no reports indicate a change in territorial control.",Battles,A violent interaction between two politically organized armed groups at a particular time and location.,Amangwu,"On 3 November 2022, soldiers on a search and rescue mission clashed with IPOB militants at Amangwu (Ohafia, Abia). The mission was targeted at the rescue of an off-duty soldier who was abducted by the militants [coded separately], according to the Defense Headquarters. One soldier was killed during the operations which lasted over some days [coded separately based on dates]. Other sources report that soldiers attacked civilians, killed 10, burnt 50 houses and over 100 residents were displaced while searching for the abductee; the Defense Headquarters denied the claims, IPOB denied having camps in the said areas and involvement in the abduction and clashes with soldiers, and claimed that armed groups in the areas where stated sponsored.",Western Africa,Vanguard (Nigeria); Sahara Reporters; Daily Independent (Nigeria),National-Regional,2022,South,0,1,Point,,1,2,12,5.6706,7.8705,4049341,20221103
Military Forces of Nigeria (2015-),State Security Forces,IPOB: Indigenous Peoples of Biafra,Abia,Ohafia,,,,12/6/2022 15:53,NIG28623,28623,Armed clash,"Armed, organized groups engage in a battle, and no reports indicate a change in territorial control.",Battles,A violent interaction between two politically organized armed groups at a particular time and location.,Okon,"On 4 November 2022, soldiers on a search and rescue mission clashed with suspected IPOB militants at Okon Aku (Ohafia, Abia). One militant was killed, one rifle, ammunition and a mobile phone were recovered, according to the Defense Headquarters. One soldier was killed during the operations which lasted over some days [coded separately based on dates]. Other sources report that soldiers attacked civilians, killed 10, burnt 50 houses and over 100 residents were displaced while searching for the abductee; the Defense Headquarters denied the claims, IPOB denied having camps in the said areas and involvement in the abduction and clashes with soldiers, and claimed that armed groups in the areas where stated sponsored.",Western Africa,Vanguard (Nigeria); Sahara Reporters; Daily Independent (Nigeria),National-Regional,2022,South,1,1,Point,,1,2,12,5.6601,7.8896,4050226,20221104
Military Forces of Nigeria (2015-),State Security Forces,IPOB: Indigenous Peoples of Biafra,Abia,Ohafia,,,,12/6/2022 15:53,NIG28624,28624,Armed clash,"Armed, organized groups engage in a battle, and no reports indicate a change in territorial control.",Battles,A violent interaction between two politically organized armed groups at a particular time and location.,Amangwu,"On 5 November 2022, Nigerian troops raided a hideout of IPOB militants during a follow up operation at Amangwu (Ohafia, Abia). Two militants were killed, some fled with gunshot wounds, weapons, ammunition and other items were recovered, according to the Defense Headquarters. One soldier was killed during the operations which lasted over some days [coded separately based on dates]. Other sources report that soldiers attacked civilians, killed 10, burnt 50 houses and over 100 residents were displaced while searching for the abductee; the Defense Headquarters denied the claims, IPOB denied having camps in the said areas and involvement in the abduction and clashes with soldiers, and claimed that armed groups in the areas where stated sponsored.",Western Africa,Sahara Reporters; Daily Independent (Nigeria); Vanguard (Nigeria),National-Regional,2022,South,2,1,Point,,1,2,12,5.6706,7.8705,4050922,20221105
Police Forces of Nigeria (2015-),State Security Forces,IPOB: Indigenous Peoples of Biafra,Ebonyi,Ishielu,,,,1/10/2023 9:05,NIG29214,29214,Armed clash,"Armed, organized groups engage in a battle, and no reports indicate a change in territorial control.",Battles,A violent interaction between two politically organized armed groups at a particular time and location.,Obeagu,"On 14 December 2022, policemen raided an IPOB camp and engaged the militants in an armed clash in Obeagu (Ishielu, Ebonyi). The militants were pursued by the policemen; two militants were killed, a couple of policemen sustained minor injuries, one militant commander was arrested and the others fled with bullet wounds and a bomb factory was uncovered. IPOB denied any connection with the bomb factory and insisted that the police and its agents of being responsible.",Western Africa,Daily Independent (Nigeria); Sahara Reporters,National-Regional,2022,South,2,1,Point,,1,2,12,6.5968,7.7253,4098418,20221214
Military Forces of Nigeria (2015-),State Security Forces,Islamic State (West Africa),Borno,Mafa,,,,1/10/2023 9:05,NIG29330,29330,Armed clash,"Armed, organized groups engage in a battle, and no reports indicate a change in territorial control.",Battles,A violent interaction between two politically organized armed groups at a particular time and location.,Mafa,"On 25 December 2022, Nigerian troops repelled an attack by ISWAP militants at Mafa (Mafa, Borno). Casualties unknown.",Western Africa,Twitter,New media,2022,North East,0,1,Point,,1,2,12,12.1,13.7,4101576,20221225
Military Forces of Nigeria (2015-),State Security Forces,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Borno,Mafa,,Civilian JTF: Civilian Joint Task Force,,12/6/2022 15:53,NIG28714,28714,Armed clash,"Armed, organized groups engage in a battle, and no reports indicate a change in territorial control.",Battles,A violent interaction between two politically organized armed groups at a particular time and location.,Ngwom,"On 14 November 2022, troops of Operation Hadin Kai together with Civilian JTF operatives clashed with Boko Haram [JAS faction] militants who had set up an illegal vehicle checkpoint to rob civilians at Ngwom (Mafa, Borno). Two civilians were killed, the troops recovered four of the militants' motorcycles.",Western Africa,Twitter,New media,2022,North East,2,1,Point,,1,2,12,11.8826,13.3434,4057885,20221114
Military Forces of Nigeria (2015-),State Security Forces,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Borno,Mafa,,Civilian JTF: Civilian Joint Task Force,,1/10/2023 9:05,NIG29369,29369,Armed clash,"Armed, organized groups engage in a battle, and no reports indicate a change in territorial control.",Battles,A violent interaction between two politically organized armed groups at a particular time and location.,Koshebe,"On 5 December 2022, troops of Operation Hadin Kai and Civilian JTF operatives clashed with Boko Haram [JAS] militants in Koshebe (Mafa, Borno) and Karkut [coded separately]. 4 militants were killed; split across two events and coded as 2, others fled, 6 newly established camps of the militants were destroyed, grenade, weapons and handsets were recovered by the troops.",Western Africa,Twitter,New media,2022,North East,2,1,Point,,1,2,12,11.9991,13.3319,4096546,20221205
Military Forces of Nigeria (2015-),State Security Forces,Islamic State (West Africa),Borno,Kaga,,,,12/13/2022 9:05,NIG29005,29005,Armed clash,"Armed, organized groups engage in a battle, and no reports indicate a change in territorial control.",Battles,A violent interaction between two politically organized armed groups at a particular time and location.,Mainok,"On 6 December 2022, troops of Operation Hadin Kai on a fighting patrol intercepted ISWAP militants and engaged them in an armed clash at a crossing point in the Mainok axis (Kaga, Borno). 8 militants were killed, four motorcycles and other items including medicines and food stuff were recovered by the troops.",Western Africa,Twitter,New media,2022,North East,8,1,Point,,1,2,12,11.8288,12.6345,4092251,20221206
Military Forces of Nigeria (2015-),State Security Forces,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Borno,Mafa,,Hunters Group of Nigeria,,1/10/2023 9:05,NIG29375,29375,Armed clash,"Armed, organized groups engage in a battle, and no reports indicate a change in territorial control.",Battles,A violent interaction between two politically organized armed groups at a particular time and location.,Mafa,"On 1 January 2023, troops of Operation Hadin Kai in collaboration with hunters clashed with Boko Haram [JAS] militants who abducted two civilians in the axis of Mafa (Mafa, Borno). The militants abandoned the abductees and fled.",Western Africa,Twitter,New media,2023,North East,0,1,Point,,1,2,12,12.1,13.7,4103374,20230101
Military Forces of Nigeria (2015-),State Security Forces,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Borno,Konduga,,Civilian JTF: Civilian Joint Task Force,,1/10/2023 9:05,NIG29372,29372,Armed clash,"Armed, organized groups engage in a battle, and no reports indicate a change in territorial control.",Battles,A violent interaction between two politically organized armed groups at a particular time and location.,Konduga,"On 1 January 2023, troops of 222 batallion Konduga in collaboration with Civilian JTF operatives intercepted and clashed Boko Haram [JAS] militants at Konduga (Konduga, Borno). Two militants were killed.",Western Africa,Twitter,New media,2023,North East,2,1,Point,,1,2,12,11.6558,13.4213,4103373,20230101
Military Forces of Nigeria (2015-),State Security Forces,Islamic State (West Africa) and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Borno,Monguno,,MNJTF: Multinational Joint Task Force,,1/31/2023 9:05,NIG29733,29733,Armed clash,"Armed, organized groups engage in a battle, and no reports indicate a change in territorial control.",Battles,A violent interaction between two politically organized armed groups at a particular time and location.,Monguno,"On 20 January 2023, troops of sector 3 of Operation Hadin Kai in collaboration with the MNJTF clashed with ISWAP/ Boko Haram militants in Monguno (Monguno, Borno) and foiled the militants attack. Two militants were killed while some others fled with gunshot wounds, five abductees were rescued, a rifle, two loaded magazines and other items were recovered.",Western Africa,Twitter,New media,2023,North East,2,1,Point,,1,2,12,12.6786,13.6079,4143381,20230120
Military Forces of Nigeria (2015-),State Security Forces,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Borno,Bama,,Civilian JTF: Civilian Joint Task Force,,2/21/2023 9:05,NIG29981,29981,Armed clash,"Armed, organized groups engage in a battle, and no reports indicate a change in territorial control.",Battles,A violent interaction between two politically organized armed groups at a particular time and location.,Kashimeri,"On 10 February 2023, troops of 21 Armored Brigade in collaboration with Civilian JTF operatives clashed with Boko Haram [JAS faction] operatives during an offensive patrol in Kashimeri (Bama, Borno), Churchur, Mbaiwa and China [coded separately] and other new established villages. 7 militants were killed, others fled and abandoned women, children and old persons who were rescued by the troops. The camps were set ablaze, 7 fatalities split across 2 events coded as 4.",Western Africa,Twitter,New media,2023,North East,4,1,Point,,1,2,12,11.6098,13.9592,4167948,20230210
Military Forces of Nigeria (2015-),State Security Forces,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Borno,Bama,,Civilian JTF: Civilian Joint Task Force; Hunters Group of Nigeria,,2/21/2023 9:05,NIG29982,29982,Armed clash,"Armed, organized groups engage in a battle, and no reports indicate a change in territorial control.",Battles,A violent interaction between two politically organized armed groups at a particular time and location.,Banki,"On 13 February 2023, troops of 152 battalion Banki of Operation Hadin Kai in collaboration with Civilian JTF operatives and hunters ambushed Boko Haram [JAS faction] militants at Banki (Bama, Borno). 8 militants were killed, 6 rifles, two motorcycles and other items were recovered.",Western Africa,Twitter,New media,2023,North East,8,1,Point,,1,2,12,11.2551,14.1482,4168695,20230213
Military Forces of Nigeria (2015-),State Security Forces,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Borno,Gubio,,Civilian JTF: Civilian Joint Task Force,,12/6/2022 15:53,NIG28621,28621,Armed clash,"Armed, organized groups engage in a battle, and no reports indicate a change in territorial control.",Battles,A violent interaction between two politically organized armed groups at a particular time and location.,Gubio,"On 4 November 2022, troops of Operation Hadin Kai in collaboration with Civilian JTF operatives clashed with Boko Haram [JAS] militants in Gubio general area (Gubio, Borno). 3 militants were killed, two rifles with magazines and a motorcycle were recovered by the troops.",Western Africa,Twitter; Daily Trust (Nigeria),New media-National,2022,North East,3,1,Point,,1,2,12,12.499,12.7848,4050225,20221104
Military Forces of Nigeria (2015-),State Security Forces,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Borno,Mafa,,Civilian JTF: Civilian Joint Task Force,,1/10/2023 9:05,NIG29085,29085,Armed clash,"Armed, organized groups engage in a battle, and no reports indicate a change in territorial control.",Battles,A violent interaction between two politically organized armed groups at a particular time and location.,Ngwom,"On 26 December 2022, troops of Operation Hadin Kai and Civilian JTF operatives clashed with Boko Haram [JAS] militants at Ngwom (Mafa, Borno). 8 militants were killed and one was captured alive.",Western Africa,Daily Leadership (Nigeria); Guardian (Nigeria); Twitter,New media-National,2022,North East,8,1,Point,,1,2,12,11.8826,13.3434,4101796,20221226
Military Forces of Nigeria (2015-),State Security Forces,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Borno,Mafa,,,,12/6/2022 15:53,NIG28694,28694,Armed clash,"Armed, organized groups engage in a battle, and no reports indicate a change in territorial control.",Battles,A violent interaction between two politically organized armed groups at a particular time and location.,Mafa,"On 14 November 2022, troops of Operation Hadin Kai clashed with Boko Haram militants [JAS faction] at Mafa axis (Mafa, Borno). 14 militants including one commander were killed.",Western Africa,Twitter; Vanguard (Nigeria); Inside Arewa (Nigeria),New media-National,2022,North East,14,1,Point,,1,2,12,12.1,13.7,4057881,20221114
Military Forces of Nigeria (2015-),State Security Forces,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Borno,Mafa,,Civilian JTF: Civilian Joint Task Force,,12/12/2022 3:33,NIG28493,28493,Armed clash,"Armed, organized groups engage in a battle, and no reports indicate a change in territorial control.",Battles,A violent interaction between two politically organized armed groups at a particular time and location.,Gauri,"On 30 October 2022, Nigerian troops in a joint operation with Civilian JTF operatives clashed with Boko Haram militants at their hideout in Gauri (Mafa, Borno). The militants were overwhelmed and called for reinforcement which arrived. 21 militants were killed, 2 soldiers were killed and 5 others wounded while the troops pursued the militants.",Western Africa,Daily Leadership (Nigeria); Twitter,New media-National,2022,North East,23,1,Point,,1,2,12,12.0629,13.6439,4087375,20221030
Military Forces of Nigeria (2015-),State Security Forces,IPOB: Indigenous Peoples of Biafra,Anambra,Ihiala,,Police Forces of Nigeria (2015-) Department of State Services; Police Forces of Nigeria (2015-),,12/12/2022 3:33,NIG28508,28508,Armed clash,"Armed, organized groups engage in a battle, and no reports indicate a change in territorial control.",Battles,A violent interaction between two politically organized armed groups at a particular time and location.,Orsumoghu,"On 27 October 2022, the Nigerian Defense Headquatters claimed that soldiers in collaboration with DSS operatives and policemen conducted a clearance operation on a camp of IPOB militants and engaged them in an armed clash at Orsumoghu (Ihiala, Anambra). 5 militants were killed and 2 others were arrested, weapons, ammunition, IEDs and military uniforms were recovered along with other items.",Western Africa,Sahara Reporters,Regional,2022,South,5,1,Point,,1,2,12,5.8721,6.9314,4086034,20221027
Military Forces of Nigeria (2015-),State Security Forces,IPOB: Indigenous Peoples of Biafra,Anambra,Aguata,,,,12/6/2022 15:53,NIG28695,28695,Armed clash,"Armed, organized groups engage in a battle, and no reports indicate a change in territorial control.",Battles,A violent interaction between two politically organized armed groups at a particular time and location.,Isuofia,"On 12 November 2022, the Defense Headquarters claimed that Nigerian troops clashed with IPOB militants in Isuofia (Aguata, Anambra). 13 militants were killed, 6 others including a herbalist were arrested, arms, ammunition and military camouflage uniforms were recovered by the troops.",Western Africa,Sahara Reporters,Regional,2022,South,13,1,Point,,1,2,12,6.03,7.0528,4056430,20221112
Military Forces of Nigeria (2015-),State Security Forces,IPOB: Indigenous Peoples of Biafra,Enugu,Isi Uzo,,Police Forces of Nigeria (2015-); Munya Communal Militia (Nigeria),,12/13/2022 9:05,NIG29002,29002,Armed clash,"Armed, organized groups engage in a battle, and no reports indicate a change in territorial control.",Battles,A violent interaction between two politically organized armed groups at a particular time and location.,Eha Amufu,"On 7 December 2022, soldiers and policemen clashed IPOB/ESN militants at Umuhu-Eha Amufu (Isi Uzo, Enugu) following an attempt by the soldiers to allow a truck that local defense militiamen claimed was intercepted with armed Fulani pastoralists pass through the community. One ESN fighter was killed.",Western Africa,Sahara Reporters,Regional,2022,South,1,1,Point,,1,2,12,6.6592,7.7596,4092635,20221207
Police Forces of Nigeria (2015-),State Security Forces,Unidentified Armed Group (Nigeria),Bauchi,Alkaleri,,,,1/10/2023 9:05,NIG29271,29271,Armed clash,"Armed, organized groups engage in a battle, and no reports indicate a change in territorial control.",Battles,A violent interaction between two politically organized armed groups at a particular time and location.,Alkaleri,"On 19 December 2022, policemen clashed with an unidentified armed group when they raided their camp at Digare and Dajin Madam (Alkaleri, Bauchi), Gwana, Digare and Mansur [coded separately]. 12 members of the group were killed, others fled with bullet wounds, motorcycles and weapons were recovered. 12 fatalities split across 3 events coded as 4.",Western Africa,Daily Leadership (Nigeria); Premium Times (Nigeria); Vanguard (Nigeria),National,2022,North East,4,1,Point,,1,3,13,10.2661,10.3353,4099874,20221219
Police Forces of Nigeria (2015-),State Security Forces,Unidentified Armed Group (Nigeria),Bauchi,Alkaleri,,,,1/10/2023 9:05,NIG29272,29272,Armed clash,"Armed, organized groups engage in a battle, and no reports indicate a change in territorial control.",Battles,A violent interaction between two politically organized armed groups at a particular time and location.,Gwana,"On 19 December 2022, policemen clashed with an unidentified armed group when they raided their camp at Gwana (Alkaleri, Bauchi), Mansur, Digare and Dajin Madam [coded separately]. 12 members of the group were killed, others fled with bullet wounds, motorcycles and weapons were recovered. 12 fatalities split across 3 events coded as 4.",Western Africa,Daily Leadership (Nigeria); Premium Times (Nigeria); Vanguard (Nigeria),National,2022,North East,4,1,Point,,1,3,13,9.5773,10.7926,4099875,20221219
Police Forces of Nigeria (2015-),State Security Forces,Unidentified Armed Group (Nigeria),Bauchi,Alkaleri,,,,1/10/2023 9:05,NIG29273,29273,Armed clash,"Armed, organized groups engage in a battle, and no reports indicate a change in territorial control.",Battles,A violent interaction between two politically organized armed groups at a particular time and location.,Mansur,"On 19 December 2022, policemen clashed with an unidentified armed group when they raided their camp at Mansur (Alkaleri, Bauchi), Gwana, Digare and Dajin Madam [coded separately]. 12 members of the group were killed, others fled with bullet wounds, motorcycles and weapons were recovered. 12 fatalities split across 3 events coded as 4.",Western Africa,Daily Leadership (Nigeria); Premium Times (Nigeria); Vanguard (Nigeria),National,2022,North East,4,1,Point,,1,3,13,9.7177,10.6297,4099876,20221219
Police Forces of Nigeria (2015-),State Security Forces,Unidentified Armed Group (Nigeria),Delta,Warri South,,,,1/10/2023 9:05,NIG29359,29359,Armed clash,"Armed, organized groups engage in a battle, and no reports indicate a change in territorial control.",Battles,A violent interaction between two politically organized armed groups at a particular time and location.,Ugborikoko,"On 28 December 2022, policemen invaded the hideout of an unidentified armed group and engaged them in an armed clash at Ugborikoko (Warri South, Delta). One of the group's members was killed, the others fled; the policemen were led to the hideout by a member of the group whom they had arrested over an abduction [coded separately].",Western Africa,Daily Independent (Nigeria); Nigeria Punch,National,2022,South,1,1,Point,,1,3,13,5.5371,5.7654,4102345,20221228
Military Forces of Nigeria (2015-),State Security Forces,Unidentified Armed Group (Nigeria),Imo,Okigwe,,,,1/10/2023 9:05,NIG29415,29415,Armed clash,"Armed, organized groups engage in a battle, and no reports indicate a change in territorial control.",Battles,A violent interaction between two politically organized armed groups at a particular time and location.,Ihube,"On 31 December 2022, Nigerian troops clashed with an unidentified armed group at Ihube (Okigwe, Imo) while they were searching for an abducted soldier [coded separately] in the forests. The residents fled the area, there were no fatalities/casualties.",Western Africa,Daily Trust (Nigeria),National,2022,South,0,1,Point,,1,3,13,5.8611,7.3737,4103135,20221231
Police Forces of Nigeria (2015-),State Security Forces,Icelander Cult Militia,Rivers,Ahoada East,,,,1/10/2023 9:05,NIG29233,29233,Armed clash,"Armed, organized groups engage in a battle, and no reports indicate a change in territorial control.",Battles,A violent interaction between two politically organized armed groups at a particular time and location.,Abarikpo,"On 15 December 2022, policemen responded to a distress call and clashed with Icelander cult militia in Abarikpo (Ahoada East, Rivers), after a unit leader of the militia who was targeted by members of his militia [coded separately] was killed.",Western Africa,Vanguard (Nigeria),National,2022,South,1,1,Point,,1,3,13,5.1544,6.6362,4098755,20221215
Police Forces of Nigeria (2015-),State Security Forces,Supreme Vikings Cult Militia,Anambra,Idemili North,,,,1/17/2023 9:05,NIG29528,29528,Armed clash,"Armed, organized groups engage in a battle, and no reports indicate a change in territorial control.",Battles,A violent interaction between two politically organized armed groups at a particular time and location.,Nkpor,"On 11 January 2023, the Nigerian police shot and killed a member of the Viking in Nkpor (Idemili North, Anambra) and arrested two other members of the gang. The militiam exchanged gunfire with the police when their hideout was raided, and in the process, one of them got killed. The police recovered two locally made pistols, live ammunition, and one motorcycle. 1 fatality reported.",Western Africa,Nigeria Punch; Premium Times (Nigeria),National,2023,South,1,1,Point,,1,3,13,6.1516,6.8446,4133880,20230111
