Newsfeed Country,Newsfeed Country UNDPRegion,Newsfeed CountryISO,Newsfeed DateDisplay,Newsfeed Description,Newsfeed Description2,Newsfeed Entity,Newsfeed IncidentType,Newsfeed Language,Newsfeed Link,Newsfeed Source,Newsfeed Source Description,Newsfeed Source Url,Newsfeed Source2,Newsfeed Trajectory,Date FK,Newsfeed Latitude,Newsfeed Longitude,Newsfeed PK
Nigeria,Africa,NGA,12/3/2022 8:36,DHQ accuses Reuters of blackmail,,"Chibok School,Borno Government,Boko Haram,Rehabilitation Centre,Alexandra Zavis,UNICEF,Paul Julius Reuter,Nigerian military,Nigerian government",UNDP_Security,English,https://guardian.ng/news/dhq-accuses-reuters-of-blackmail/,EMM,"The freely accessible Europe Media Monitor (EMM), by the The European Commission's science and knowledge service is a fully automatic system that analyses both traditional and social media. It gathers and aggregates about 300,000 news articles per day from news portals world-wide in up to 70 languages.",http://emm.newsbrief.eu/NewsBrief,guardian-ng,,20221203,-4.26613,15.28318,918
Nigeria,Africa,NGA,12/3/2022 7:55,"""Devil came late, I'm alive"": Governor Wike's lead singer, Sensational Bamidele, survives...",,"Facebook,News Feed,Nyesom Wike",UNDP_ManMadeDisasters,English,https://www.legit.ng/entertainment/celebrities/1507412-devil-late-im-alive-governor-wikes-lead-singer-sensational-bamidele-survives-ghastly-accident/,EMM,"The freely accessible Europe Media Monitor (EMM), by the The European Commission's science and knowledge service is a fully automatic system that analyses both traditional and social media. It gathers and aggregates about 300,000 news articles per day from news portals world-wide in up to 70 languages.",http://emm.newsbrief.eu/NewsBrief,hausa-legit-ng,,20221203,,,919
Nigeria,Africa,NGA,12/3/2022 8:21,Before Kaduna -Abuja Train Resumes,,"Identification Number,Railway Corporation",UNDP_TerroristAttack,English,https://leadership.ng/before-kaduna-abuja-train-resumes/,EMM,"The freely accessible Europe Media Monitor (EMM), by the The European Commission's science and knowledge service is a fully automatic system that analyses both traditional and social media. It gathers and aggregates about 300,000 news articles per day from news portals world-wide in up to 70 languages.",http://emm.newsbrief.eu/NewsBrief,leadership,,20221203,10.52641,7.43879,920
Nigeria,Africa,NGA,12/3/2022 8:07,World AIDS Day: Federal Govt Tasks States On Speedy Passage Of Anti-discrimination Bill For HIV,,"Gambo Aliyu,Osagie Ehanire,Boss Mustapha",UNDP_Society,English,https://leadership.ng/world-aids-day-federal-govt-tasks-states-on-speedy-passage-of-anti-discrimination-bill-for-hiv/,EMM,"The freely accessible Europe Media Monitor (EMM), by the The European Commission's science and knowledge service is a fully automatic system that analyses both traditional and social media. It gathers and aggregates about 300,000 news articles per day from news portals world-wide in up to 70 languages.",http://emm.newsbrief.eu/NewsBrief,leadership,,20221203,9.05785,7.49508,921
Nigeria,Africa,NGA,12/3/2022 15:30,"Governors reply FG, say insecurity, failed promises responsible for rising poverty",,"Clement Agba,Agriculture, Rural Development,National Assembly,Wole Soyinka,Umar Farouk,PREMIUM TIMES,National Bureau,House of Representatives,Governors Forum,Federal Executive Council",UNDP_TerroristAttack,English,https://www.premiumtimesng.com/news/568770-governors-reply-fg-say-insecurity-failed-promises-responsible-for-rising-poverty.html,EMM,"The freely accessible Europe Media Monitor (EMM), by the The European Commission's science and knowledge service is a fully automatic system that analyses both traditional and social media. It gathers and aggregates about 300,000 news articles per day from news portals world-wide in up to 70 languages.",http://emm.newsbrief.eu/NewsBrief,premiumtimesng,,20221203,35.6895,139.69171,922
Nigeria,Africa,NGA,12/3/2022 16:11,11 injured as gunmen attack mosque in Delta,,"ALSO READ,News Agency,Catriona Laing,Labour Party",UNDP_TerroristAttack,English,https://www.premiumtimesng.com/news/headlines/568772-11-injured-as-gunmen-attack-mosque-in-delta.html,EMM,"The freely accessible Europe Media Monitor (EMM), by the The European Commission's science and knowledge service is a fully automatic system that analyses both traditional and social media. It gathers and aggregates about 300,000 news articles per day from news portals world-wide in up to 70 languages.",http://emm.newsbrief.eu/NewsBrief,premiumtimesng,,20221203,5.48956,6.00407,923
Nigeria,Africa,NGA,12/3/2022 0:40,"Terrorists killed 55,430 in seven years – Report",,"Tony Blair,Muhammadu Buhari,Boko Haram",UNDP_TerroristAttack,English,https://punchng.com/terrorists-killed-55430-in-seven-years-report/,EMM,"The freely accessible Europe Media Monitor (EMM), by the The European Commission's science and knowledge service is a fully automatic system that analyses both traditional and social media. It gathers and aggregates about 300,000 news articles per day from news portals world-wide in up to 70 languages.",http://emm.newsbrief.eu/NewsBrief,punchng,,20221203,22.49471,114.13812,924
Nigeria,Africa,NGA,12/3/2022 0:59,"Shops, valuables destroyed in Jigawa fire outbreak",,"Local Government Area,Civil Defense Corps,Adamu Shehu",UNDP_Security,English,https://punchng.com/shops-valuables-destroyed-in-jigawa-fire-outbreak/,EMM,"The freely accessible Europe Media Monitor (EMM), by the The European Commission's science and knowledge service is a fully automatic system that analyses both traditional and social media. It gathers and aggregates about 300,000 news articles per day from news portals world-wide in up to 70 languages.",http://emm.newsbrief.eu/NewsBrief,punchng,,20221203,12.45347,10.04115,925
Nigeria,Africa,NGA,12/3/2022 1:26,"How unemployment, poverty rubbish fight against insecurity (III)",,"United Nations High Commissioner for Refugees,United Nations,Olusegun Obasanjo,Boko Haram,Crude Account,National Bureau,Federal Government,Institute for Economics and Peace",UNDP_Conflict,English,https://punchng.com/how-unemployment-poverty-rubbish-fight-against-insecurity-iii/,EMM,"The freely accessible Europe Media Monitor (EMM), by the The European Commission's science and knowledge service is a fully automatic system that analyses both traditional and social media. It gathers and aggregates about 300,000 news articles per day from news portals world-wide in up to 70 languages.",http://emm.newsbrief.eu/NewsBrief,punchng,,20221203,-14.17117,-169.67851,926
Nigeria,Africa,NGA,12/3/2022 13:22,"Eight killed in farmers, herders Borno clash - Police",,"Hassan Musa,Local Government Area,State Police,Allah Cattle Breeders Association",UNDP_Conflict,English,https://punchng.com/eight-killed-in-farmers-herders-borno-clash-police/,EMM,"The freely accessible Europe Media Monitor (EMM), by the The European Commission's science and knowledge service is a fully automatic system that analyses both traditional and social media. It gathers and aggregates about 300,000 news articles per day from news portals world-wide in up to 70 languages.",http://emm.newsbrief.eu/NewsBrief,punchng,,20221203,11.84692,13.15712,927
Nigeria,Africa,NGA,12/3/2022 1:03,Why my illegal impeachment as Ekiti Speaker won’t stand – Hon Aribisogan,,"Bukola Saraki,Rt. Hon,Tola Esan,House of Representatives,Ahmad Lawan,State House,Aminu Tambuwal",UNDP_TerroristAttack,English,https://www.sunnewsonline.com/why-my-illegal-impeachment-as-ekiti-speaker-wont-stand-hon-aribisogan/,EMM,"The freely accessible Europe Media Monitor (EMM), by the The European Commission's science and knowledge service is a fully automatic system that analyses both traditional and social media. It gathers and aggregates about 300,000 news articles per day from news portals world-wide in up to 70 languages.",http://emm.newsbrief.eu/NewsBrief,sunnewsonline,,20221203,9.05785,7.49508,928
Nigeria,Africa,NGA,12/3/2022 16:10,"You Made Insecurity Worse, Pushed More Nigerians into Poverty – Governors Reply Buhari",,"Petroleum Corporation,Nigerian National Petroleum Corporation,Clement Agba,Agriculture, Rural Development,Umar Farouk,Muhammadu Buhari,National Petroleum Corporation,House of Representatives,Governors Forum",UNDP_TerroristAttack,English,https://www.tekedia.com/you-made-insecurity-worse-pushed-more-nigerians-into-poverty-governors-reply-buhari/,EMM,"The freely accessible Europe Media Monitor (EMM), by the The European Commission's science and knowledge service is a fully automatic system that analyses both traditional and social media. It gathers and aggregates about 300,000 news articles per day from news portals world-wide in up to 70 languages.",http://emm.newsbrief.eu/NewsBrief,tekedia,,20221203,9.05785,7.49508,929
Nigeria,Africa,NGA,12/3/2022 0:06,"Pantami: ICT highest contributor to GDP 18 hours ago Minister of Communications and Digital Economy, Prof. Isa Pantami, has lauded the increasing importance of the Information and Communication Technology (ICT) sector to the Nigerian economy. He said the ICT...",,"Muhammadu Buhari,Information and Communication Technology,Centre for Artificial Intelligence and Robotics,Microsoft,Isa Pantami,Foreign, Commonwealth,SIM Card,Nigerian Government,Broadband Plan,Federal Government,Device Management",UNDP_ScienceandTechnology,English,https://thenationonlineng.net/pantami-ict-highest-contributor-to-gdp/,EMM,"The freely accessible Europe Media Monitor (EMM), by the The European Commission's science and knowledge service is a fully automatic system that analyses both traditional and social media. It gathers and aggregates about 300,000 news articles per day from news portals world-wide in up to 70 languages.",http://emm.newsbrief.eu/NewsBrief,thenationonlineng,,20221203,51.50853,-0.12574,930
Nigeria,Africa,NGA,12/3/2022 1:01,Felicitate With’ Wrong,,"NIGERIAN TRIBUNE,Jose Antonio Ocampo,Bola Ahmed Tinubu,NATO,Ahmed Tinubu,Progressives Congress,NATION NEWS,Jose Antonio,THE GUARDIAN,Mike Adenuga,THE NATION",UNDP_ManMadeDisasters,English,https://www.thisdaylive.com/index.php/2022/12/03/felicitate-with-wrong/,EMM,"The freely accessible Europe Media Monitor (EMM), by the The European Commission's science and knowledge service is a fully automatic system that analyses both traditional and social media. It gathers and aggregates about 300,000 news articles per day from news portals world-wide in up to 70 languages.",http://emm.newsbrief.eu/NewsBrief,thisdayonline,,20221203,6.44132,7.49883,931
Nigeria,Africa,NGA,12/3/2022 0:06,64 percent of women with disabilities at risk of sexual abuse in Nigeria ― Report,,"United Nations,Human Rights Commission,ALSO READ,Ministry of Health,World Health Organization,WHO,UNFPA,Walter Kazadi Mulombo,Federal Government,Kazadi Mulombo,Tony Ojukwu",UNDP_Society,English,https://tribuneonlineng.com/64-percent-of-women-with-disabilities-at-risk-of-sexual-abuse-in-nigeria-%e2%80%95-report/,EMM,"The freely accessible Europe Media Monitor (EMM), by the The European Commission's science and knowledge service is a fully automatic system that analyses both traditional and social media. It gathers and aggregates about 300,000 news articles per day from news portals world-wide in up to 70 languages.",http://emm.newsbrief.eu/NewsBrief,tribuneonlineng,,20221203,9.05785,7.49508,932
Nigeria,Africa,NGA,12/3/2022 11:36,Notorious terrorist Bello Turji to Military: Why have you not killed me?,,Muhammad Hassan,UNDP_Conflict,English,https://www.vanguardngr.com/2022/12/notorious-terrorist-bello-turji-to-military-why-have-you-not-killed-me/,EMM,"The freely accessible Europe Media Monitor (EMM), by the The European Commission's science and knowledge service is a fully automatic system that analyses both traditional and social media. It gathers and aggregates about 300,000 news articles per day from news portals world-wide in up to 70 languages.",http://emm.newsbrief.eu/NewsBrief,vanguardngr,,20221203,6.33732,-75.55795,933
Nigeria,Africa,NGA,12/3/2022 11:36,Israeli police shoot dead Palestinian in West Bank,,"Hady Amr,United Nations,Red Crescent,State Department,Ned Price,Tor Wennesland",UNDP_Conflict,English,https://www.vanguardngr.com/2022/12/israeli-police-shoot-dead-palestinian-in-west-bank/,EMM,"The freely accessible Europe Media Monitor (EMM), by the The European Commission's science and knowledge service is a fully automatic system that analyses both traditional and social media. It gathers and aggregates about 300,000 news articles per day from news portals world-wide in up to 70 languages.",http://emm.newsbrief.eu/NewsBrief,vanguardngr,,20221203,32.00191,34.82977,934
Nigeria,Africa,NGA,12/4/2022 7:28,"UNILAG Law teacher, WARDC Founder, wins Soyinka journalism centre award",,"Wole Soyinka,Obafemi Awolowo,Gani Fawehinmi,Waziri Adio,Students Union,Ile-Ife,Amnesty International,Attahiru Jega,Nuhu Ribadu,Accountability Project,OAU,Alhaji Balarabe Musa,Femi Falana,Obiageli Ezekwesili,Balarabe Musa,Innocent Chukwuma",UNDP_Society,English,https://247ureports.com/2022/12/unilag-law-teacher-wardc-founder-wins-soyinka-journalism-centre-award/,EMM,"The freely accessible Europe Media Monitor (EMM), by the The European Commission's science and knowledge service is a fully automatic system that analyses both traditional and social media. It gathers and aggregates about 300,000 news articles per day from news portals world-wide in up to 70 languages.",http://emm.newsbrief.eu/NewsBrief,247ureports,,20221204,6.45407,3.39467,2383
Nigeria,Africa,NGA,12/4/2022 8:18,IPOB/ESN: Enugu GOC under fire over insecurity in S/East,,"Emeka Umeagbalasi,Nigerian Army,Nigeria Army,Jonah Unuakhalu,Nigerian Military,Umar Musa",UNDP_Conflict,English,https://247ureports.com/2022/12/ipob-esn-enugu-goc-under-fire-over-insecurity-in-s-east/,EMM,"The freely accessible Europe Media Monitor (EMM), by the The European Commission's science and knowledge service is a fully automatic system that analyses both traditional and social media. It gathers and aggregates about 300,000 news articles per day from news portals world-wide in up to 70 languages.",http://emm.newsbrief.eu/NewsBrief,247ureports,,20221204,6.44132,7.49883,2384
Nigeria,Africa,NGA,12/4/2022 8:18,IPOB/ESN: Enugu GOC under fire over insecurity in S/East,,"Emeka Umeagbalasi,Nigerian Army,Nigeria Army,Jonah Unuakhalu,Nigerian Military,Umar Musa",UNDP_Security,English,https://247ureports.com/2022/12/ipob-esn-enugu-goc-under-fire-over-insecurity-in-s-east/,EMM,"The freely accessible Europe Media Monitor (EMM), by the The European Commission's science and knowledge service is a fully automatic system that analyses both traditional and social media. It gathers and aggregates about 300,000 news articles per day from news portals world-wide in up to 70 languages.",http://emm.newsbrief.eu/NewsBrief,247ureports,,20221204,6.44132,7.49883,2385
Nigeria,Africa,NGA,12/4/2022 8:35,Russian Miners Buy More Bitcoin Mining Rigs In Q4: Report,,Didar Bekbauov,UNDP_ScienceandTechnology,English,https://www.businesstelegraph.co.uk/russian-miners-buy-more-bitcoin-mining-rigs-in-q4-report/,EMM,"The freely accessible Europe Media Monitor (EMM), by the The European Commission's science and knowledge service is a fully automatic system that analyses both traditional and social media. It gathers and aggregates about 300,000 news articles per day from news portals world-wide in up to 70 languages.",http://emm.newsbrief.eu/NewsBrief,businesstelegraph,,20221204,55.75222,37.61556,2386
Nigeria,Africa,NGA,12/4/2022 15:11,"You have failed Nigerians, don’t blame us – Governors hit back at FG",,"Clement Agba,Governors’ Forum,Federal Government",UNDP_TerroristAttack,English,https://dailypost.ng/2022/12/04/you-have-failed-nigerians-dont-blame-us-governors-hit-back-at-fg/,EMM,"The freely accessible Europe Media Monitor (EMM), by the The European Commission's science and knowledge service is a fully automatic system that analyses both traditional and social media. It gathers and aggregates about 300,000 news articles per day from news portals world-wide in up to 70 languages.",http://emm.newsbrief.eu/NewsBrief,dailypost,,20221204,9.05785,7.49508,2387
Nigeria,Africa,NGA,12/4/2022 5:50,2023: Jubilations Over Massive Defection to APC in Kogi Central,,"Democratic Party,Social Democratic Party,Yahaya Bello,Senatorial District,Progressives Congress,Abubakar Ohere,Ahmadu Bello",UNDP_Society,English,https://dailyreviewonline-ng.com/2022/12/04/52961/,EMM,"The freely accessible Europe Media Monitor (EMM), by the The European Commission's science and knowledge service is a fully automatic system that analyses both traditional and social media. It gathers and aggregates about 300,000 news articles per day from news portals world-wide in up to 70 languages.",http://emm.newsbrief.eu/NewsBrief,dailyreviewonline-ng,,20221204,7.79688,6.74048,2388
Nigeria,Africa,NGA,12/4/2022 17:01,Church-led peace marches against DR Congo rebel violence,,"Bertrand Bisimwa,Catholic Church,ALEXIS HUGUET",UNDP_Security,English,https://guardian.ng/news/world/church-led-peace-marches-against-dr-congo-rebel-violence/,EMM,"The freely accessible Europe Media Monitor (EMM), by the The European Commission's science and knowledge service is a fully automatic system that analyses both traditional and social media. It gathers and aggregates about 300,000 news articles per day from news portals world-wide in up to 70 languages.",http://emm.newsbrief.eu/NewsBrief,guardian-ng,,20221204,-4.26613,15.28318,2389
Nigeria,Africa,NGA,12/4/2022 17:01,Church-led peace marches against DR Congo rebel violence,,"Bertrand Bisimwa,Catholic Church,ALEXIS HUGUET",UNDP_Conflict,English,https://guardian.ng/news/world/church-led-peace-marches-against-dr-congo-rebel-violence/,EMM,"The freely accessible Europe Media Monitor (EMM), by the The European Commission's science and knowledge service is a fully automatic system that analyses both traditional and social media. It gathers and aggregates about 300,000 news articles per day from news portals world-wide in up to 70 languages.",http://emm.newsbrief.eu/NewsBrief,guardian-ng,,20221204,-4.26613,15.28318,2390
Nigeria,Africa,NGA,12/4/2022 5:04,NRC to resume Abuja-Kaduna Rail service tomorrow,,"Fidet Okhiria,The Guardian,Railway Corporation",UNDP_Conflict,English,https://guardian.ng/news/nrc-to-resume-abuja-kaduna-rail-service-tomorrow/,EMM,"The freely accessible Europe Media Monitor (EMM), by the The European Commission's science and knowledge service is a fully automatic system that analyses both traditional and social media. It gathers and aggregates about 300,000 news articles per day from news portals world-wide in up to 70 languages.",http://emm.newsbrief.eu/NewsBrief,guardian-ng,,20221204,10.52641,7.43879,2391
Nigeria,Africa,NGA,12/4/2022 16:36,"Powerful APC senator escapes assassination attempt, video shows faces of culprits",,"Sani Musa,Alhaji Mohammed,Mohammed Sani,Senatorial District,Mohammed Sani Musa,Emmanuel Umar,Fani-Kayode,Femi Fani-Kayode,Labour Party,Peter Obi,Sani Bello",UNDP_TerroristAttack,English,https://www.legit.ng/nigeria/1507683-senator-sani-musa-escapes-assassination-attempt-minna/,EMM,"The freely accessible Europe Media Monitor (EMM), by the The European Commission's science and knowledge service is a fully automatic system that analyses both traditional and social media. It gathers and aggregates about 300,000 news articles per day from news portals world-wide in up to 70 languages.",http://emm.newsbrief.eu/NewsBrief,hausa-legit-ng,,20221204,9.61524,6.54776,2392
Nigeria,Africa,NGA,12/4/2022 7:39,Meet ‘Omeife' NIgeria and Africa's first Human-like robot which speaks five languages,,"Innoson Motors,Isa Ali,Nigerian Government,Development Agency,Group CEO,Isa Ali Pantami",UNDP_ScienceandTechnology,English,https://www.legit.ng/business-economy/technology/1507573-meet-omeife-nigerias-humanoid-speaks-languages/,EMM,"The freely accessible Europe Media Monitor (EMM), by the The European Commission's science and knowledge service is a fully automatic system that analyses both traditional and social media. It gathers and aggregates about 300,000 news articles per day from news portals world-wide in up to 70 languages.",http://emm.newsbrief.eu/NewsBrief,hausa-legit-ng,,20221204,9.05785,7.49508,2393
Nigeria,Africa,NGA,12/4/2022 12:18,"“48hrs still no rap song?” Wizkid continues to troll Nigerian rappers, calls them dumb",,,UNDP_Conflict,English,https://www.legit.ng/entertainment/music/1507662-48hrs-rap-song-wizkid-continues-troll-nigerian-rappers-calls-dumb/,EMM,"The freely accessible Europe Media Monitor (EMM), by the The European Commission's science and knowledge service is a fully automatic system that analyses both traditional and social media. It gathers and aggregates about 300,000 news articles per day from news portals world-wide in up to 70 languages.",http://emm.newsbrief.eu/NewsBrief,hausa-legit-ng,,20221204,-3.25861,-79.96053,2394
Nigeria,Africa,NGA,12/4/2022 15:52,"Don’t Truncate Peace In North-East, Group Warns Reuters",,"Defence Staff,LEO Irabor,Armed Forces,Nigerian military",UNDP_TerroristAttack,English,https://leadership.ng/dont-truncate-peace-in-north-east-group-warns-reuters/,EMM,"The freely accessible Europe Media Monitor (EMM), by the The European Commission's science and knowledge service is a fully automatic system that analyses both traditional and social media. It gathers and aggregates about 300,000 news articles per day from news portals world-wide in up to 70 languages.",http://emm.newsbrief.eu/NewsBrief,leadership,,20221204,10.4,-0.6,2395
Nigeria,Africa,NGA,12/4/2022 7:42,INTERVIEW: Why I want to be Nigeria’s next President – ADC candidate Kachikwu,,"William Jefferson,Yahoo,Democratic Congress,Atiku Abubakar,PREMIUM TIMES,Facebook,Our military,Nigerian government",UNDP_TerroristAttack,English,https://www.premiumtimesng.com/features-and-interviews/568822-interview-why-i-want-to-be-nigerias-next-president-adc-candidate-kachikwu.html,EMM,"The freely accessible Europe Media Monitor (EMM), by the The European Commission's science and knowledge service is a fully automatic system that analyses both traditional and social media. It gathers and aggregates about 300,000 news articles per day from news portals world-wide in up to 70 languages.",http://emm.newsbrief.eu/NewsBrief,premiumtimesng,,20221204,9.05785,7.49508,2396
Nigeria,Africa,NGA,12/4/2022 16:39,"The World Last Week: World Cup surprises, protests in China, Ramaphosa’s farmgate saga, others dominate global headlines",,"World Cup,National Assembly,United Nations,Al Jazeera,WHO,Luis Suarez,Mike Ryan,Bayt Stadium,Cyril Ramaphosa,Vincent Magwenya,Covid-19",UNDP_Conflict,English,https://www.premiumtimesng.com/foreign/568903-the-world-last-week-world-cup-surprises-protests-in-china-ramaphosas-farmgate-saga-others-dominate-global-headlines.html,EMM,"The freely accessible Europe Media Monitor (EMM), by the The European Commission's science and knowledge service is a fully automatic system that analyses both traditional and social media. It gathers and aggregates about 300,000 news articles per day from news portals world-wide in up to 70 languages.",http://emm.newsbrief.eu/NewsBrief,premiumtimesng,,20221204,25.28545,51.53096,2397
Nigeria,Africa,NGA,12/4/2022 16:02,"Terrorists shoot Imam, abduct 13 from Katsina mosque",,"Local Government Area,State Police,Gambo Isah",UNDP_TerroristAttack,English,https://punchng.com/terrorists-shoot-imam-abduct-13-from-katsina-mosque/,EMM,"The freely accessible Europe Media Monitor (EMM), by the The European Commission's science and knowledge service is a fully automatic system that analyses both traditional and social media. It gathers and aggregates about 300,000 news articles per day from news portals world-wide in up to 70 languages.",http://emm.newsbrief.eu/NewsBrief,punchng,,20221204,12.99082,7.60177,2398
Nigeria,Africa,NGA,12/4/2022 3:04,"Buhari, Aisha mark 33 years in marriage",,"Lady, Aisha,Joke Silva,Lauretta Onochie,Muhammadu Buhari,Nigerian Army,Armed Forces,British Broadcasting Corporation",UNDP_Conflict,English,https://punchng.com/buhari-aisha-mark-33-years-in-marriage/,EMM,"The freely accessible Europe Media Monitor (EMM), by the The European Commission's science and knowledge service is a fully automatic system that analyses both traditional and social media. It gathers and aggregates about 300,000 news articles per day from news portals world-wide in up to 70 languages.",http://emm.newsbrief.eu/NewsBrief,punchng,,20221204,9.05785,7.49508,2399
